Direction,Year,Country,Religion,Count,Percent,Region,level,countrycode
Incoming,1990,Algeria,Jew,"< 10,000",0.1,Middle East-North Africa,1,12
Incoming,1990,Algeria,Muslim,"240,000",88,Middle East-North Africa,1,12
Incoming,1990,Algeria,Other,"< 10,000",0,Middle East-North Africa,1,12
Incoming,1990,Algeria,Unaffiliated,"< 10,000",0.8,Middle East-North Africa,1,12
Incoming,1990,American Samoa,All,"20,000",100,Asia-Pacific,1,16
Incoming,1990,American Samoa,Buddhist,"< 10,000",2,Asia-Pacific,1,16
Incoming,1990,American Samoa,Christian,"20,000",77.6,Asia-Pacific,1,16
Incoming,1990,American Samoa,Hindu,"< 10,000",2,Asia-Pacific,1,16
Incoming,1990,American Samoa,Jew,"< 10,000",0.6,Asia-Pacific,1,16
Incoming,1990,American Samoa,Muslim,"< 10,000",1.4,Asia-Pacific,1,16
Incoming,1990,American Samoa,Other,"< 10,000",0.6,Asia-Pacific,1,16
Incoming,1990,American Samoa,Unaffiliated,"< 10,000",15.8,Asia-Pacific,1,16
Incoming,1990,Andorra,All,"40,000",100,Europe,1,20
Incoming,1990,Andorra,Buddhist,"< 10,000",0.6,Europe,1,20
Incoming,1990,Andorra,Christian,"30,000",67.1,Europe,1,20
Incoming,1990,Andorra,Hindu,"< 10,000",0.1,Europe,1,20
Incoming,1990,Andorra,Jew,"< 10,000",0.2,Europe,1,20
Incoming,1990,Andorra,Muslim,"< 10,000",1.3,Europe,1,20
Incoming,1990,Andorra,Other,"< 10,000",0.1,Europe,1,20
Incoming,1990,Andorra,Unaffiliated,"10,000",30.7,Europe,1,20
Incoming,1990,Angola,All,"30,000",100,Sub-Saharan Africa,1,24
Incoming,1990,Angola,Buddhist,"< 10,000",0.1,Sub-Saharan Africa,1,24
Incoming,1990,Angola,Christian,"30,000",83.7,Sub-Saharan Africa,1,24
Incoming,1990,Angola,Hindu,"< 10,000",0.1,Sub-Saharan Africa,1,24
Incoming,1990,Angola,Jew,"< 10,000",0.1,Sub-Saharan Africa,1,24
Incoming,1990,Angola,Muslim,"< 10,000",7.3,Sub-Saharan Africa,1,24
Incoming,1990,Angola,Other,"< 10,000",3.5,Sub-Saharan Africa,1,24
Incoming,1990,Angola,Unaffiliated,"< 10,000",5.1,Sub-Saharan Africa,1,24
Incoming,1990,Antigua and Barbuda,All,"10,000",100,Latin America-Caribbean,1,28
Incoming,1990,Antigua and Barbuda,Buddhist,"< 10,000",1.3,Latin America-Caribbean,1,28
Incoming,1990,Antigua and Barbuda,Christian,"< 10,000",73.8,Latin America-Caribbean,1,28
Incoming,1990,Antigua and Barbuda,Hindu,"< 10,000",0.5,Latin America-Caribbean,1,28
Incoming,1990,Antigua and Barbuda,Jew,"< 10,000",1.5,Latin America-Caribbean,1,28
Incoming,1990,Antigua and Barbuda,Muslim,"< 10,000",1.4,Latin America-Caribbean,1,28
Incoming,1990,Antigua and Barbuda,Other,"< 10,000",5.1,Latin America-Caribbean,1,28
Incoming,1990,Antigua and Barbuda,Unaffiliated,"< 10,000",16.4,Latin America-Caribbean,1,28
Incoming,1990,Azerbaijan,All,"360,000",100,Asia-Pacific,1,31
Incoming,1990,Azerbaijan,Buddhist,"< 10,000",1.5,Asia-Pacific,1,31
Incoming,1990,Azerbaijan,Christian,"200,000",54.7,Asia-Pacific,1,31
Incoming,1990,Azerbaijan,Hindu,"< 10,000",1.6,Asia-Pacific,1,31
Incoming,1990,Azerbaijan,Jew,"< 10,000",0.1,Asia-Pacific,1,31
Incoming,1990,Azerbaijan,Muslim,"130,000",37,Asia-Pacific,1,31
Incoming,1990,Azerbaijan,Other,"< 10,000",0.3,Asia-Pacific,1,31
Incoming,1990,Azerbaijan,Unaffiliated,"20,000",4.8,Asia-Pacific,1,31
Incoming,1990,Argentina,All,"1,650,000",100,Latin America-Caribbean,1,32
Incoming,1990,Argentina,Buddhist,"10,000",0.8,Latin America-Caribbean,1,32
Incoming,1990,Argentina,Christian,"1,350,000",81.8,Latin America-Caribbean,1,32
Incoming,1990,Argentina,Hindu,"< 10,000",0.1,Latin America-Caribbean,1,32
Incoming,1990,Argentina,Jew,"20,000",1.2,Latin America-Caribbean,1,32
Incoming,1990,Argentina,Muslim,"20,000",1,Latin America-Caribbean,1,32
Incoming,1990,Argentina,Other,"40,000",2.4,Latin America-Caribbean,1,32
Incoming,1990,Argentina,Unaffiliated,"210,000",12.7,Latin America-Caribbean,1,32
Incoming,1990,Australia,All,"3,960,000",100,Asia-Pacific,1,36
Incoming,1990,Australia,Buddhist,"230,000",5.9,Asia-Pacific,1,36
Incoming,1990,Australia,Christian,"2,620,000",66.2,Asia-Pacific,1,36
Incoming,1990,Australia,Hindu,"90,000",2.4,Asia-Pacific,1,36
Incoming,1990,Australia,Jew,"60,000",1.6,Asia-Pacific,1,36
Incoming,1990,Australia,Muslim,"170,000",4.2,Asia-Pacific,1,36
Incoming,1990,Australia,Other,"50,000",1.3,Asia-Pacific,1,36
Incoming,1990,Australia,Unaffiliated,"730,000",18.5,Asia-Pacific,1,36
Incoming,1990,Austria,All,"790,000",100,Europe,1,40
Incoming,1990,Austria,Buddhist,"< 10,000",1.1,Europe,1,40
Incoming,1990,Austria,Christian,"430,000",54.4,Europe,1,40
Incoming,1990,Austria,Hindu,"< 10,000",0.4,Europe,1,40
Incoming,1990,Austria,Jew,"< 10,000",0.7,Europe,1,40
Incoming,1990,Austria,Muslim,"170,000",21.5,Europe,1,40
Incoming,1990,Austria,Other,"< 10,000",0.5,Europe,1,40
Incoming,1990,Austria,Unaffiliated,"170,000",21.4,Europe,1,40
Incoming,1990,Bahamas,All,"30,000",100,Latin America-Caribbean,1,44
Incoming,1990,Bahamas,Buddhist,"< 10,000",1.3,Latin America-Caribbean,1,44
Incoming,1990,Bahamas,Christian,"20,000",76,Latin America-Caribbean,1,44
Incoming,1990,Bahamas,Hindu,"< 10,000",0.9,Latin America-Caribbean,1,44
Incoming,1990,Bahamas,Jew,"< 10,000",1.6,Latin America-Caribbean,1,44
Incoming,1990,Bahamas,Muslim,"< 10,000",1,Latin America-Caribbean,1,44
Incoming,1990,Bahamas,Other,"< 10,000",3.5,Latin America-Caribbean,1,44
Incoming,1990,Bahamas,Unaffiliated,"< 10,000",15.6,Latin America-Caribbean,1,44
Incoming,1990,Bahrain,All,"170,000",100,Middle East-North Africa,1,48
Incoming,1990,Bahrain,Buddhist,"< 10,000",0.2,Middle East-North Africa,1,48
Incoming,1990,Bahrain,Christian,"20,000",13.9,Middle East-North Africa,1,48
Incoming,1990,Bahrain,Hindu,"20,000",10.8,Middle East-North Africa,1,48
Incoming,1990,Bahrain,Jew,"< 10,000",0,Middle East-North Africa,1,48
Incoming,1990,Bahrain,Muslim,"130,000",74.3,Middle East-North Africa,1,48
Incoming,1990,Bahrain,Other,"< 10,000",0.4,Middle East-North Africa,1,48
Incoming,1990,Bahrain,Unaffiliated,"< 10,000",0.4,Middle East-North Africa,1,48
Incoming,1990,Bangladesh,All,"880,000",100,Asia-Pacific,1,50
Incoming,1990,Bangladesh,Buddhist,"190,000",21.6,Asia-Pacific,1,50
Incoming,1990,Bangladesh,Christian,"90,000",10.6,Asia-Pacific,1,50
Incoming,1990,Bangladesh,Hindu,"30,000",3.2,Asia-Pacific,1,50
Incoming,1990,Bangladesh,Jew,"< 10,000",0,Asia-Pacific,1,50
Incoming,1990,Bangladesh,Muslim,"490,000",55.5,Asia-Pacific,1,50
Incoming,1990,Bangladesh,Other,"50,000",5.3,Asia-Pacific,1,50
Incoming,1990,Bangladesh,Unaffiliated,"30,000",3.9,Asia-Pacific,1,50
Incoming,1990,Armenia,All,"660,000",100,Asia-Pacific,1,51
Incoming,1990,Armenia,Buddhist,"< 10,000",0.2,Asia-Pacific,1,51
Incoming,1990,Armenia,Christian,"100,000",15.1,Asia-Pacific,1,51
Incoming,1990,Armenia,Hindu,"< 10,000",0.1,Asia-Pacific,1,51
Incoming,1990,Armenia,Jew,"< 10,000",0.3,Asia-Pacific,1,51
Incoming,1990,Armenia,Muslim,"510,000",76.8,Asia-Pacific,1,51
Incoming,1990,Armenia,Other,"< 10,000",0.2,Asia-Pacific,1,51
Incoming,1990,Armenia,Unaffiliated,"50,000",7.2,Asia-Pacific,1,51
Incoming,1990,Barbados,All,"20,000",100,Latin America-Caribbean,1,52
Incoming,1990,Barbados,Buddhist,"< 10,000",0.5,Latin America-Caribbean,1,52
Incoming,1990,Barbados,Christian,"10,000",58.9,Latin America-Caribbean,1,52
Incoming,1990,Barbados,Hindu,"< 10,000",2,Latin America-Caribbean,1,52
Incoming,1990,Barbados,Jew,"< 10,000",0.5,Latin America-Caribbean,1,52
Incoming,1990,Barbados,Muslim,"< 10,000",1.1,Latin America-Caribbean,1,52
Incoming,1990,Barbados,Other,"< 10,000",6.6,Latin America-Caribbean,1,52
Incoming,1990,Barbados,Unaffiliated,"< 10,000",30.3,Latin America-Caribbean,1,52
Incoming,1990,Belgium,All,"1,280,000",100,Europe,1,56
Incoming,1990,Belgium,Buddhist,"10,000",0.8,Europe,1,56
Incoming,1990,Belgium,Christian,"440,000",34.6,Europe,1,56
Incoming,1990,Belgium,Hindu,"< 10,000",0.7,Europe,1,56
Incoming,1990,Belgium,Jew,"< 10,000",0.4,Europe,1,56
Incoming,1990,Belgium,Muslim,"490,000",38.5,Europe,1,56
Incoming,1990,Belgium,Other,"< 10,000",0.7,Europe,1,56
Incoming,1990,Belgium,Unaffiliated,"310,000",24.3,Europe,1,56
Incoming,1990,Bermuda,All,"20,000",100,North America,1,60
Incoming,1990,Bermuda,Buddhist,"< 10,000",0.9,North America,1,60
Incoming,1990,Bermuda,Christian,"10,000",66.4,North America,1,60
Incoming,1990,Bermuda,Hindu,"< 10,000",1.2,North America,1,60
Incoming,1990,Bermuda,Jew,"< 10,000",2.9,North America,1,60
Incoming,1990,Bermuda,Muslim,"< 10,000",1.7,North America,1,60
Incoming,1990,Bermuda,Other,"< 10,000",2,North America,1,60
Incoming,1990,Bermuda,Unaffiliated,"< 10,000",24.7,North America,1,60
Incoming,1990,Bhutan,All,"20,000",100,Asia-Pacific,1,64
Incoming,1990,Bhutan,Buddhist,"< 10,000",1.9,Asia-Pacific,1,64
Incoming,1990,Bhutan,Christian,"< 10,000",9.5,Asia-Pacific,1,64
Incoming,1990,Bhutan,Hindu,"20,000",71.3,Asia-Pacific,1,64
Incoming,1990,Bhutan,Jew,"< 10,000",0,Asia-Pacific,1,64
Incoming,1990,Bhutan,Muslim,"< 10,000",13,Asia-Pacific,1,64
Incoming,1990,Bhutan,Other,"< 10,000",1.4,Asia-Pacific,1,64
Incoming,1990,Bhutan,Unaffiliated,"< 10,000",2.7,Asia-Pacific,1,64
Incoming,1990,Bolivia,All,"70,000",100,Latin America-Caribbean,1,68
Incoming,1990,Bolivia,Buddhist,"< 10,000",1.9,Latin America-Caribbean,1,68
Incoming,1990,Bolivia,Christian,"60,000",77.8,Latin America-Caribbean,1,68
Incoming,1990,Bolivia,Hindu,"< 10,000",0.3,Latin America-Caribbean,1,68
Incoming,1990,Bolivia,Jew,"< 10,000",2,Latin America-Caribbean,1,68
Incoming,1990,Bolivia,Muslim,"< 10,000",0.7,Latin America-Caribbean,1,68
Incoming,1990,Bolivia,Other,"< 10,000",3.2,Latin America-Caribbean,1,68
Incoming,1990,Bolivia,Unaffiliated,"10,000",14,Latin America-Caribbean,1,68
Incoming,1990,Bosnia-Herzegovina,All,"60,000",100,Europe,1,70
Incoming,1990,Bosnia-Herzegovina,Buddhist,"< 10,000",0.2,Europe,1,70
Incoming,1990,Bosnia-Herzegovina,Christian,"40,000",66.4,Europe,1,70
Incoming,1990,Bosnia-Herzegovina,Hindu,"< 10,000",0.1,Europe,1,70
Incoming,1990,Bosnia-Herzegovina,Jew,"< 10,000",0.3,Europe,1,70
Incoming,1990,Bosnia-Herzegovina,Muslim,"< 10,000",5.7,Europe,1,70
Incoming,1990,Bosnia-Herzegovina,Other,"< 10,000",0.2,Europe,1,70
Incoming,1990,Bosnia-Herzegovina,Unaffiliated,"20,000",27.2,Europe,1,70
Incoming,1990,Botswana,All,"30,000",100,Sub-Saharan Africa,1,72
Incoming,1990,Botswana,Buddhist,"< 10,000",1.8,Sub-Saharan Africa,1,72
Incoming,1990,Botswana,Christian,"20,000",70.2,Sub-Saharan Africa,1,72
Incoming,1990,Botswana,Hindu,"< 10,000",3.8,Sub-Saharan Africa,1,72
Incoming,1990,Botswana,Jew,"< 10,000",0.3,Sub-Saharan Africa,1,72
Incoming,1990,Botswana,Muslim,"< 10,000",12,Sub-Saharan Africa,1,72
Incoming,1990,Botswana,Other,"< 10,000",2.1,Sub-Saharan Africa,1,72
Incoming,1990,Botswana,Unaffiliated,"< 10,000",9.8,Sub-Saharan Africa,1,72
Incoming,1990,Brazil,All,"800,000",100,Latin America-Caribbean,1,76
Incoming,1990,Brazil,Buddhist,"40,000",4.4,Latin America-Caribbean,1,76
Incoming,1990,Brazil,Christian,"620,000",77.2,Latin America-Caribbean,1,76
Incoming,1990,Brazil,Hindu,"< 10,000",0.5,Latin America-Caribbean,1,76
Incoming,1990,Brazil,Jew,"20,000",2.3,Latin America-Caribbean,1,76
Incoming,1990,Brazil,Muslim,"10,000",1.5,Latin America-Caribbean,1,76
Incoming,1990,Brazil,Other,"30,000",3.6,Latin America-Caribbean,1,76
Incoming,1990,Brazil,Unaffiliated,"80,000",10.4,Latin America-Caribbean,1,76
Incoming,1990,Belize,All,"30,000",100,Latin America-Caribbean,1,84
Incoming,1990,Belize,Buddhist,"< 10,000",1,Latin America-Caribbean,1,84
Incoming,1990,Belize,Christian,"20,000",79,Latin America-Caribbean,1,84
Incoming,1990,Belize,Hindu,"< 10,000",0.8,Latin America-Caribbean,1,84
Incoming,1990,Belize,Jew,"< 10,000",1.7,Latin America-Caribbean,1,84
Incoming,1990,Belize,Muslim,"< 10,000",0.4,Latin America-Caribbean,1,84
Incoming,1990,Belize,Other,"< 10,000",2.8,Latin America-Caribbean,1,84
Incoming,1990,Belize,Unaffiliated,"< 10,000",14.3,Latin America-Caribbean,1,84
Incoming,1990,Solomon Islands,All,"< 10,000",100,Asia-Pacific,1,90
Incoming,1990,Solomon Islands,Buddhist,"< 10,000",3.1,Asia-Pacific,1,90
Incoming,1990,Solomon Islands,Christian,"< 10,000",72.6,Asia-Pacific,1,90
Incoming,1990,Solomon Islands,Hindu,"< 10,000",1.8,Asia-Pacific,1,90
Incoming,1990,Solomon Islands,Jew,"< 10,000",0.5,Asia-Pacific,1,90
Incoming,1990,Solomon Islands,Muslim,"< 10,000",5.6,Asia-Pacific,1,90
Incoming,1990,Solomon Islands,Other,"< 10,000",0.6,Asia-Pacific,1,90
Incoming,1990,Solomon Islands,Unaffiliated,"< 10,000",15.8,Asia-Pacific,1,90
Incoming,1990,British Virgin Islands,All,"< 10,000",100,Latin America-Caribbean,1,92
Incoming,1990,British Virgin Islands,Buddhist,"< 10,000",2.3,Latin America-Caribbean,1,92
Incoming,1990,British Virgin Islands,Christian,"< 10,000",76.4,Latin America-Caribbean,1,92
Incoming,1990,British Virgin Islands,Hindu,"< 10,000",0.4,Latin America-Caribbean,1,92
Incoming,1990,British Virgin Islands,Jew,"< 10,000",0.5,Latin America-Caribbean,1,92
Incoming,1990,British Virgin Islands,Muslim,"< 10,000",0.8,Latin America-Caribbean,1,92
Incoming,1990,British Virgin Islands,Other,"< 10,000",7.7,Latin America-Caribbean,1,92
Incoming,1990,British Virgin Islands,Unaffiliated,"< 10,000",11.8,Latin America-Caribbean,1,92
Incoming,1990,Brunei,All,"70,000",100,Asia-Pacific,1,96
Incoming,1990,Brunei,Buddhist,"< 10,000",4.3,Asia-Pacific,1,96
Incoming,1990,Brunei,Christian,"< 10,000",11.3,Asia-Pacific,1,96
Incoming,1990,Brunei,Hindu,"< 10,000",5.6,Asia-Pacific,1,96
Incoming,1990,Brunei,Jew,"< 10,000",0,Asia-Pacific,1,96
Incoming,1990,Brunei,Muslim,"60,000",76.6,Asia-Pacific,1,96
Incoming,1990,Brunei,Other,"< 10,000",1,Asia-Pacific,1,96
Incoming,1990,Brunei,Unaffiliated,"< 10,000",1.2,Asia-Pacific,1,96
Incoming,1990,Bulgaria,All,"20,000",100,Europe,1,100
Incoming,1990,Bulgaria,Buddhist,"< 10,000",1.4,Europe,1,100
Incoming,1990,Bulgaria,Christian,"10,000",64.1,Europe,1,100
Incoming,1990,Bulgaria,Hindu,"< 10,000",0.5,Europe,1,100
Incoming,1990,Bulgaria,Jew,"< 10,000",0.8,Europe,1,100
Incoming,1990,Bulgaria,Muslim,"< 10,000",14.2,Europe,1,100
Incoming,1990,Bulgaria,Other,"< 10,000",1.2,Europe,1,100
Incoming,1990,Bulgaria,Unaffiliated,"< 10,000",17.6,Europe,1,100
Incoming,1990,Myanmar,All,"130,000",100,Asia-Pacific,1,104
Incoming,1990,Myanmar,Buddhist,"50,000",39.2,Asia-Pacific,1,104
Incoming,1990,Myanmar,Christian,"10,000",8,Asia-Pacific,1,104
Incoming,1990,Myanmar,Hindu,"30,000",25.4,Asia-Pacific,1,104
Incoming,1990,Myanmar,Jew,"< 10,000",0,Asia-Pacific,1,104
Incoming,1990,Myanmar,Muslim,"< 10,000",5.3,Asia-Pacific,1,104
Incoming,1990,Myanmar,Other,"< 10,000",1.9,Asia-Pacific,1,104
Incoming,1990,Myanmar,Unaffiliated,"30,000",20.1,Asia-Pacific,1,104
Incoming,1990,Burundi,All,"330,000",100,Sub-Saharan Africa,1,108
Incoming,1990,Burundi,Buddhist,"< 10,000",0,Sub-Saharan Africa,1,108
Incoming,1990,Burundi,Christian,"280,000",84.3,Sub-Saharan Africa,1,108
Incoming,1990,Burundi,Hindu,"< 10,000",0.1,Sub-Saharan Africa,1,108
Incoming,1990,Burundi,Jew,"< 10,000",0,Sub-Saharan Africa,1,108
Incoming,1990,Burundi,Muslim,"40,000",12.6,Sub-Saharan Africa,1,108
Incoming,1990,Burundi,Other,"< 10,000",1,Sub-Saharan Africa,1,108
Incoming,1990,Burundi,Unaffiliated,"< 10,000",2.1,Sub-Saharan Africa,1,108
Incoming,1990,Belarus,All,"1,250,000",100,Europe,1,112
Incoming,1990,Belarus,Buddhist,"< 10,000",0.3,Europe,1,112
Incoming,1990,Belarus,Christian,"1,050,000",84.2,Europe,1,112
Incoming,1990,Belarus,Hindu,"< 10,000",0,Europe,1,112
Incoming,1990,Belarus,Jew,"< 10,000",0.2,Europe,1,112
Incoming,1990,Belarus,Muslim,"40,000",3.1,Europe,1,112
Incoming,1990,Belarus,Other,"< 10,000",0.2,Europe,1,112
Incoming,1990,Belarus,Unaffiliated,"150,000",11.9,Europe,1,112
Incoming,1990,Cambodia,All,"40,000",100,Asia-Pacific,1,116
Incoming,1990,Cambodia,Buddhist,"20,000",51.4,Asia-Pacific,1,116
Incoming,1990,Cambodia,Christian,"< 10,000",6.7,Asia-Pacific,1,116
Incoming,1990,Cambodia,Hindu,"< 10,000",0.2,Asia-Pacific,1,116
Incoming,1990,Cambodia,Jew,"< 10,000",0,Asia-Pacific,1,116
Incoming,1990,Cambodia,Muslim,"< 10,000",1.4,Asia-Pacific,1,116
Incoming,1990,Cambodia,Other,"< 10,000",23.9,Asia-Pacific,1,116
Incoming,1990,Cambodia,Unaffiliated,"< 10,000",16.4,Asia-Pacific,1,116
Incoming,1990,Cameroon,All,"270,000",100,Sub-Saharan Africa,1,120
Incoming,1990,Cameroon,Buddhist,"< 10,000",0.1,Sub-Saharan Africa,1,120
Incoming,1990,Cameroon,Christian,"200,000",75.4,Sub-Saharan Africa,1,120
Incoming,1990,Cameroon,Hindu,"< 10,000",0,Sub-Saharan Africa,1,120
Incoming,1990,Cameroon,Jew,"< 10,000",0,Sub-Saharan Africa,1,120
Incoming,1990,Cameroon,Muslim,"40,000",16.7,Sub-Saharan Africa,1,120
Incoming,1990,Cameroon,Other,"10,000",4.8,Sub-Saharan Africa,1,120
Incoming,1990,Cameroon,Unaffiliated,"< 10,000",2.9,Sub-Saharan Africa,1,120
Incoming,1990,Canada,All,"4,330,000",100,North America,1,124
Incoming,1990,Canada,Buddhist,"100,000",2.4,North America,1,124
Incoming,1990,Canada,Christian,"2,860,000",66.1,North America,1,124
Incoming,1990,Canada,Hindu,"110,000",2.5,North America,1,124
Incoming,1990,Canada,Jew,"50,000",1.1,North America,1,124
Incoming,1990,Canada,Muslim,"230,000",5.4,North America,1,124
Incoming,1990,Canada,Other,"110,000",2.6,North America,1,124
Incoming,1990,Canada,Unaffiliated,"860,000",19.9,North America,1,124
Incoming,1990,Cape Verde,All,"< 10,000",100,Sub-Saharan Africa,1,132
Incoming,1990,Cape Verde,Buddhist,"< 10,000",0.2,Sub-Saharan Africa,1,132
Incoming,1990,Cape Verde,Christian,"< 10,000",67.6,Sub-Saharan Africa,1,132
Incoming,1990,Cape Verde,Hindu,"< 10,000",0.1,Sub-Saharan Africa,1,132
Incoming,1990,Cape Verde,Jew,"< 10,000",0.2,Sub-Saharan Africa,1,132
Incoming,1990,Cape Verde,Muslim,"< 10,000",16.2,Sub-Saharan Africa,1,132
Incoming,1990,Cape Verde,Other,"< 10,000",6.1,Sub-Saharan Africa,1,132
Incoming,1990,Cape Verde,Unaffiliated,"< 10,000",9.6,Sub-Saharan Africa,1,132
